station, date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
NRR001,5/28/1991,1410,5,29.2,9.25,22.54,,9.1,,87.2,8.1
NRR001,5/28/1991,1410,5.5,29.2,9.25,22.54,,9,,87,8.1
NRR001,5/28/1991,1410,6,29.2,9.25,22.54,,9.1,,87.2,8.1
NRR001,5/28/1991,1410,6.5,29.2,9.25,22.54,,9.3,,86.9,8.1
NRR001,5/28/1991,1410,7,29.2,9.25,22.54,,9.2,,87.1,8.1
NRR001,5/28/1991,1410,7.5,29.2,9.24,22.55,,9,,87.1,8.1
NRR001,5/28/1991,1410,8,29.2,9.25,22.54,,8.9,,87.3,8.1
NRR001,5/28/1991,1410,8.5,29.2,9.24,22.55,,9,,86.8,8.1
NRR001,5/28/1991,1410,9,29.2,9.25,22.54,,9.1,,86.9,8.1
NRR001,5/28/1991,1410,9.5,29.2,9.25,22.54,,9.1,,87.5,8.1
NRR001,5/28/1991,1410,10,29.2,9.25,22.54,,9.1,,87.2,8.1
NRR001,5/28/1991,1410,10.5,29.2,9.25,22.54,,8.9,,87.3,8.1
NRR001,5/28/1991,1410,11,29.2,9.25,22.54,,9.1,,87.3,8.1
NRR001,5/28/1991,1410,11.5,29.2,9.25,22.54,,9.1,,87.2,8.1
NRR001,5/28/1991,1410,12,29.2,9.25,22.54,,9.2,,87.4,8.1
NRR001,5/28/1991,1410,12.5,29.19,9.25,22.54,,9.1,,87.3,8.1
NRR001,5/28/1991,1410,13,29.19,9.25,22.54,,9.2,,86.8,8.1
NRR001,5/28/1991,1410,13.5,29.19,9.25,22.54,,8.9,,87.2,8.1
NRR001,5/28/1991,1410,14,29.19,9.25,22.54,,8.8,,87,8.1
NRR001,5/28/1991,1410,14.5,29.19,9.25,22.54,,9.2,,87.4,8.1
NRR001,5/28/1991,1410,15,29.19,9.25,22.54,,9.2,,87,8.1
NRR001,5/28/1991,1410,15.5,29.19,9.25,22.54,,9.1,,87.2,8.1
NRR001,5/28/1991,1410,16,29.19,9.25,22.54,,8.9,,87.4,8.1
NRR001,5/28/1991,1410,16.5,29.2,9.25,22.54,,9,,87.3,8.1
NRR001,5/28/1991,1410,17,29.2,9.25,22.54,,9,,87.3,8.1
NRR001,5/28/1991,1410,17.5,29.2,9.24,22.55,,8.9,,87.3,8.1
NRR001,5/28/1991,1410,18,29.2,9.24,22.54,,8.9,,87.4,8.1
NRR001,5/28/1991,1410,18.5,29.2,9.25,22.54,,9.1,,87.3,8.1
NRR001,5/28/1991,1410,19,29.2,9.25,22.54,,9.1,,87.5,8.1
NRR001,5/28/1991,1410,19.5,29.19,9.25,22.54,,8.9,,87.3,8.1
NRR001,5/28/1991,1410,20,29.2,9.25,22.54,,8.9,,87.2,8.1
NRR001,5/28/1991,1410,20.5,29.2,9.24,22.55,,9,,87.3,8.1
NRR001,5/28/1991,1410,21,29.2,9.24,22.55,,9,,87,8.1
NRR001,5/28/1991,1410,21.5,29.21,9.24,22.55,,9.2,,87.2,8.1
NRR001,5/28/1991,1410,22,29.21,9.24,22.56,,9,,87,8.1
NRR001,5/28/1991,1410,22.5,29.21,9.23,22.56,,8.9,,86.7,8.1
NRR001,5/28/1991,1410,23,29.21,9.24,22.55,,8.9,,86.8,8.1
NRR001,5/28/1991,1410,23.5,29.21,9.24,22.55,,8.9,,87.2,8.1
NRR001,5/28/1991,1410,24,29.21,9.24,22.55,,9,,87.3,8.1
NRR001,5/28/1991,1410,24.5,29.21,9.24,22.55,,9,,87.2,8.1
NRR001,5/28/1991,1410,25,29.21,9.24,22.55,,9,,87.1,8.1
NRR001,5/28/1991,1410,25.5,29.21,9.24,22.55,,9,,87.2,8.1
NRR001,5/28/1991,1410,26,29.21,9.24,22.56,,9,,87.2,8.1
NRR001,5/28/1991,1410,26.5,29.21,9.23,22.56,,9,,87.2,8.1
NRR001,5/28/1991,1410,27,29.21,9.24,22.55,,9,,87.3,8.1
NRR001,5/28/1991,1410,27.5,29.21,9.24,22.55,,9,,87.1,8.1
NRR001,5/28/1991,1410,28,29.21,9.24,22.55,,8.8,,87.2,8.1
NRR001,5/28/1991,1410,28.5,29.21,9.23,22.56,,8.9,,87.1,8.1
NRR001,5/28/1991,1410,29,29.21,9.24,22.55,,8.9,,87.3,8.1
NRR001,5/28/1991,1410,29.5,29.21,9.24,22.55,,8.9,,87.4,8.1
NRR001,5/28/1991,1410,30,29.21,9.24,22.55,,8.8,,87.2,8.1
NRR001,5/28/1991,1410,30.5,29.21,9.24,22.55,,8.9,,87.3,8.1
NRR001,6/17/1991,1520,0.5,29.03,10.41,22.23,,8.7,,91.3,8.2
NRR001,6/17/1991,1520,1,29.04,10.42,22.23,,8.5,,91.4,8.2
NRR001,6/17/1991,1520,1.5,29.03,10.41,22.23,,8.5,,91.3,8.2
NRR001,6/17/1991,1520,2,29.03,10.41,22.23,,8.6,,91.2,8.2
NRR001,6/17/1991,1520,2.5,29.03,10.41,22.23,,8.6,,91,8.2
NRR001,6/17/1991,1520,3,29.03,10.4,22.23,,8.6,,91.1,8.2
NRR001,6/17/1991,1520,3.5,29.03,10.41,22.23,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,4,29.03,10.41,22.23,,8.7,,91.2,8.2
NRR001,6/17/1991,1520,4.5,29.03,10.4,22.23,,8.7,,91.4,8.2
NRR001,6/17/1991,1520,5,29.03,10.4,22.23,,8.6,,91.4,8.2
NRR001,6/17/1991,1520,5.5,29.03,10.4,22.23,,8.7,,91.2,8.2
NRR001,6/17/1991,1520,6,29.03,10.4,22.23,,8.8,,91.6,8.2
NRR001,6/17/1991,1520,6.5,29.03,10.4,22.23,,8.7,,91.4,8.2
NRR001,6/17/1991,1520,7,29.03,10.4,22.23,,8.6,,91.4,8.2
NRR001,6/17/1991,1520,7.5,29.03,10.4,22.23,,8.5,,91.2,8.2
NRR001,6/17/1991,1520,8,29.03,10.4,22.23,,8.6,,91.4,8.2
NRR001,6/17/1991,1520,8.5,29.03,10.4,22.23,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,9,29.03,10.4,22.23,,8.7,,91,8.2
NRR001,6/17/1991,1520,9.5,29.03,10.4,22.23,,8.7,,91.2,8.2
NRR001,6/17/1991,1520,10,29.03,10.4,22.23,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,10.5,29.03,10.4,22.23,,8.7,,91.2,8.2
NRR001,6/17/1991,1520,11,29.03,10.4,22.23,,8.6,,91.2,8.2
NRR001,6/17/1991,1520,11.5,29.03,10.4,22.23,,8.6,,91.2,8.2
NRR001,6/17/1991,1520,12,29.03,10.4,22.23,,8.6,,91.4,8.2
NRR001,6/17/1991,1520,12.5,29.04,10.4,22.24,,8.7,,91.3,8.2
NRR001,6/17/1991,1520,13,29.06,10.38,22.25,,8.7,,91.1,8.2
NRR001,6/17/1991,1520,13.5,29.06,10.37,22.26,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,14,29.07,10.37,22.26,,8.6,,90.9,8.2
NRR001,6/17/1991,1520,14.5,29.07,10.36,22.27,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,15,29.07,10.36,22.27,,8.7,,91.1,8.2
NRR001,6/17/1991,1520,15.5,29.07,10.36,22.27,,8.6,,91.1,8.2
NRR001,6/17/1991,1520,16,29.07,10.36,22.27,,8.7,,91.4,8.2
NRR001,6/17/1991,1520,16.5,29.06,10.37,22.26,,8.7,,91,8.2
NRR001,6/17/1991,1520,17,29.06,10.38,22.26,,8.6,,91,8.2
NRR001,6/17/1991,1520,17.5,29.06,10.37,22.26,,8.5,,91.3,8.2
NRR001,6/17/1991,1520,18,29.07,10.37,22.27,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,18.5,29.07,10.37,22.27,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,19,29.07,10.37,22.26,,8.6,,91.1,8.2
NRR001,6/17/1991,1520,19.5,29.06,10.37,22.26,,8.6,,91.2,8.2
NRR001,6/17/1991,1520,20,29.06,10.37,22.26,,8.7,,91.2,8.2
NRR001,6/17/1991,1520,20.5,29.07,10.36,22.27,,8.7,,91.3,8.2
NRR001,6/17/1991,1520,21,29.1,10.34,22.3,,8.6,,91.2,8.2
NRR001,6/17/1991,1520,21.5,29.09,10.34,22.29,,8.5,,91.5,8.2
NRR001,6/17/1991,1520,22,29.07,10.36,22.27,,8.6,,91.4,8.2
NRR001,6/17/1991,1520,22.5,29.07,10.36,22.27,,8.6,,90.5,8.2
NRR001,6/17/1991,1520,23,29.07,10.37,22.27,,8.5,,91.1,8.2
NRR001,6/17/1991,1520,23.5,29.07,10.37,22.27,,8.6,,91.1,8.2
NRR001,6/17/1991,1520,24,29.06,10.37,22.26,,8.6,,91.2,8.2
NRR001,6/17/1991,1520,24.5,29.06,10.38,22.26,,8.5,,91,8.2
NRR001,6/17/1991,1520,25,29.08,10.36,22.27,,8.7,,91.3,8.2
NRR001,6/17/1991,1520,25.5,29.08,10.35,22.28,,8.6,,91.4,8.2
NRR001,6/17/1991,1520,26,29.09,10.35,22.28,,8.5,,91.3,8.2
NRR001,6/17/1991,1520,26.5,29.09,10.35,22.28,,8.5,,91.6,8.2
NRR001,6/17/1991,1520,27,29.09,10.35,22.28,,8.5,,91.2,8.2
NRR001,6/17/1991,1520,27.5,29.09,10.34,22.29,,8.5,,91.3,8.2
NRR001,6/17/1991,1520,28,29.1,10.34,22.29,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,28.5,29.1,10.34,22.3,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,29,29.11,10.33,22.3,,8.6,,91.3,8.2
NRR001,6/17/1991,1520,29.5,29.11,10.33,22.3,,8.5,,91.4,8.2
NRR001,6/17/1991,1520,30,29.09,10.34,22.29,,8.6,,91.3,8.2
NRR001,7/22/1991,1530,0.5,29.91,10.51,22.89,,6.6,,90.4,8
NRR001,7/22/1991,1530,1,29.9,10.51,22.89,,6.5,,89.7,8
NRR001,7/22/1991,1530,1.5,29.89,10.49,22.89,,6.4,,90.2,8
NRR001,7/22/1991,1530,2,29.89,10.46,22.89,,6.6,,90.9,8
NRR001,7/22/1991,1530,2.5,29.91,10.44,22.91,,6.5,,91.1,8
NRR001,7/22/1991,1530,3,29.9,10.45,22.9,,6.5,,91.3,8
NRR001,7/22/1991,1530,3.5,29.9,10.45,22.9,,6.5,,91.1,8
NRR001,7/22/1991,1530,4,29.9,10.45,22.9,,6.6,,91.2,8
NRR001,7/22/1991,1530,4.5,29.9,10.45,22.9,,6.6,,91.3,8
NRR001,7/22/1991,1530,5,29.9,10.45,22.9,,6.5,,91.1,8
NRR001,7/22/1991,1530,5.5,29.9,10.45,22.9,,6.4,,91,8
NRR001,7/22/1991,1530,6,29.9,10.45,22.9,,6.4,,91.1,8
NRR001,7/22/1991,1530,6.5,29.9,10.45,22.9,,6.5,,91.1,8
NRR001,7/22/1991,1530,7,29.9,10.46,22.9,,6.5,,91.3,8
NRR001,7/22/1991,1530,7.5,29.9,10.46,22.9,,6.5,,91.1,8
NRR001,7/22/1991,1530,8,29.9,10.47,22.89,,6.5,,91,8
NRR001,7/22/1991,1530,8.5,29.89,10.47,22.89,,6.5,,91.1,8
NRR001,7/22/1991,1530,9,29.89,10.47,22.89,,6.5,,91.2,8
NRR001,7/22/1991,1530,9.5,29.89,10.45,22.89,,6.6,,91,8
NRR001,7/22/1991,1530,10,29.9,10.43,22.91,,6.5,,91,8
NRR001,7/22/1991,1530,10.5,29.91,10.45,22.9,,6.5,,91.1,8
NRR001,7/22/1991,1530,11,29.9,10.46,22.9,,6.5,,91,8
NRR001,7/22/1991,1530,11.5,29.89,10.46,22.89,,6.4,,91,8
NRR001,7/22/1991,1530,12,29.89,10.45,22.9,,6.4,,91.2,8
NRR001,7/22/1991,1530,12.5,29.9,10.44,22.9,,6.4,,90.4,8
NRR001,7/22/1991,1530,13,29.9,10.44,22.9,,6.4,,91,8
NRR001,7/22/1991,1530,13.5,29.9,10.44,22.9,,6.4,,91.2,8
NRR001,7/22/1991,1530,14,29.9,10.45,22.9,,6.4,,90.9,8
NRR001,7/22/1991,1530,14.5,29.9,10.45,22.9,,6.5,,91.1,8
NRR001,7/22/1991,1530,15,29.9,10.46,22.9,,6.4,,91.2,8
NRR001,7/22/1991,1530,15.5,29.89,10.46,22.89,,6.4,,91.1,8
NRR001,7/22/1991,1530,16,29.9,10.45,22.9,,6.4,,91,8
NRR001,7/22/1991,1530,16.5,29.9,10.45,22.9,,6.3,,91.1,8
NRR001,7/22/1991,1530,17,29.9,10.45,22.9,,6.4,,91,8
NRR001,7/22/1991,1530,17.5,29.9,10.45,22.9,,6.5,,90.9,8
NRR001,7/22/1991,1530,18,29.9,10.44,22.9,,6.4,,90.8,8
NRR001,7/22/1991,1530,18.5,29.9,10.44,22.9,,6.5,,90.5,8
NRR001,7/22/1991,1530,19,29.9,10.44,22.9,,6.4,,90.9,8
NRR001,7/22/1991,1530,19.5,29.9,10.44,22.9,,6.4,,90.9,8
NRR001,7/22/1991,1530,20,29.9,10.44,22.9,,6.4,,91,8
NRR001,7/22/1991,1530,20.5,29.9,10.44,22.9,,6.4,,90.8,8
NRR001,7/22/1991,1530,21,29.9,10.44,22.9,,6.4,,90.9,8
NRR001,7/22/1991,1530,21.5,29.9,10.44,22.9,,6.4,,90.8,8
NRR001,7/22/1991,1530,22,29.91,10.42,22.91,,6.4,,90.7,8
NRR001,7/22/1991,1530,22.5,29.9,10.43,22.91,,6.4,,90.9,8
NRR001,7/22/1991,1530,23,29.9,10.43,22.91,,6.4,,90.9,8
NRR001,7/22/1991,1530,23.5,29.9,10.44,22.9,,6.4,,91.1,8
NRR001,7/22/1991,1530,24,29.9,10.44,22.9,,6.4,,91.1,8
NRR001,7/22/1991,1530,24.5,29.9,10.44,22.9,,6.4,,91,8
NRR001,7/22/1991,1530,25,29.9,10.44,22.9,,6.4,,90.9,8
NRR001,7/22/1991,1530,25.5,29.9,10.44,22.9,,6.5,,90.9,8
NRR001,7/22/1991,1530,26,29.9,10.43,22.9,,6.4,,90.7,8
NRR001,7/22/1991,1530,26.5,29.9,10.43,22.9,,6.4,,91.1,8
NRR001,7/22/1991,1530,27,29.91,10.42,22.91,,6.3,,91.1,8
NRR001,7/22/1991,1530,27.5,29.91,10.43,22.91,,6.3,,90.7,8
NRR001,7/22/1991,1530,28,29.9,10.43,22.9,,6.4,,91,8
NRR001,7/22/1991,1530,28.5,29.9,10.43,22.91,,6.3,,90.6,8
NRR001,7/22/1991,1530,29,29.9,10.44,22.9,,6.3,,90.9,8
NRR001,7/22/1991,1530,29.5,29.9,10.44,22.9,,6.4,,91,8
NRR001,8/19/1991,1645,0.5,29.66,12.66,22.32,,8,,86.4,8.1
NRR001,8/19/1991,1645,1,29.64,12.6,22.32,,8,,88.2,8.1
NRR001,8/19/1991,1645,1.5,29.68,12.49,22.37,,8,,90.5,8.2
NRR001,8/19/1991,1645,2,29.69,12.45,22.39,,7.9,,90.6,8.1
NRR001,8/19/1991,1645,2.5,29.71,12.4,22.41,,7.9,,90.7,8.1
NRR001,8/19/1991,1645,3,29.72,12.39,22.42,,7.9,,90.3,8.1
NRR001,8/19/1991,1645,3.5,29.72,12.38,22.42,,8,,90.5,8.1
NRR001,8/19/1991,1645,4,29.73,12.36,22.43,,7.8,,90.8,8.1
NRR001,8/19/1991,1645,4.5,29.73,12.35,22.44,,7.8,,90.2,8.1
NRR001,8/19/1991,1645,5,29.73,12.33,22.44,,7.7,,91,8.1
NRR001,8/19/1991,1645,5.5,29.75,12.3,22.46,,7.8,,90.8,8.1
NRR001,8/19/1991,1645,6,29.75,12.29,22.46,,7.7,,90.9,8.1
NRR001,8/19/1991,1645,6.5,29.76,12.28,22.47,,7.6,,90.5,8.1
NRR001,8/19/1991,1645,7,29.76,12.29,22.47,,7.7,,90.7,8.1
NRR001,8/19/1991,1645,7.5,29.76,12.29,22.47,,7.6,,90.7,8.1
NRR001,8/19/1991,1645,8,29.74,12.29,22.46,,7.6,,90.6,8.1
NRR001,8/19/1991,1645,8.5,29.76,12.26,22.47,,7.7,,90.7,8.1
NRR001,8/19/1991,1645,9,29.75,12.23,22.47,,7.6,,90.5,8.1
NRR001,8/19/1991,1645,9.5,29.76,12.19,22.49,,7.6,,90.8,8.1
NRR001,8/19/1991,1645,10,29.76,12.17,22.5,,7.5,,91.4,8.1
NRR001,8/19/1991,1645,10.5,29.79,12.12,22.52,,7.6,,91.2,8.1
NRR001,8/19/1991,1645,11,29.8,12.12,22.53,,7.4,,91.3,8.1
NRR001,8/19/1991,1645,11.5,29.79,12.11,22.52,,7.4,,91.4,8.1
NRR001,8/19/1991,1645,12,29.8,12.09,22.54,,7.4,,91.9,8.1
NRR001,8/19/1991,1645,12.5,29.8,12.09,22.54,,7.4,,91.2,8.1
NRR001,8/19/1991,1645,13,29.8,12.09,22.54,,7.3,,91.6,8.1
NRR001,8/19/1991,1645,13.5,29.8,12.07,22.54,,7.4,,91.8,8.1
NRR001,8/19/1991,1645,14,29.81,12.05,22.55,,7.3,,91.6,8.1
NRR001,8/19/1991,1645,14.5,29.8,12.06,22.54,,7.3,,91.5,8.1
NRR001,8/19/1991,1645,15,29.8,12.05,22.54,,7.3,,91.9,8.1
NRR001,8/19/1991,1645,15.5,29.8,12.03,22.55,,7.2,,91.9,8.1
NRR001,8/19/1991,1645,16,29.77,11.99,22.53,,7.3,,91.9,8.1
NRR001,8/19/1991,1645,16.5,29.82,11.94,22.58,,7.3,,92.2,8.1
NRR001,8/19/1991,1645,17,29.82,11.95,22.58,,7.2,,92.4,8.1
NRR001,8/19/1991,1645,17.5,29.82,11.97,22.58,,7.1,,92.3,8.1
NRR001,8/19/1991,1645,18,29.8,11.94,22.56,,7.2,,92.3,8.1
NRR001,8/19/1991,1645,18.5,29.82,11.88,22.6,,7.2,,92.3,8.1
NRR001,8/19/1991,1645,19,29.83,11.87,22.6,,7.2,,92.4,8.1
NRR001,8/19/1991,1645,19.5,29.83,11.87,22.6,,7,,92.5,8.1
NRR001,8/19/1991,1645,20,29.84,11.86,22.61,,7.1,,92.3,8.1
NRR001,8/19/1991,1645,20.5,29.83,11.84,22.61,,7.2,,92.3,8.1
NRR001,8/19/1991,1645,21,29.85,11.82,22.62,,7.2,,92.9,8.1
NRR001,8/19/1991,1645,21.5,29.85,11.81,22.63,,7.1,,92.4,8.1
NRR001,8/19/1991,1645,22,29.85,11.77,22.63,,7,,92.8,8.1
NRR001,8/19/1991,1645,22.5,29.87,11.74,22.65,,7,,92.6,8.1
NRR001,8/19/1991,1645,23,29.88,11.72,22.67,,7,,92.9,8.1
NRR001,8/19/1991,1645,23.5,29.88,11.71,22.67,,7,,92.7,8.1
NRR001,8/19/1991,1645,24,29.88,11.71,22.67,,6.9,,92.7,8.1
NRR001,8/19/1991,1645,24.5,29.89,11.67,22.68,,7,,92.8,8.1
NRR001,8/19/1991,1645,25,29.9,11.65,22.7,,6.9,,92.8,8.1
NRR001,8/19/1991,1645,25.5,29.91,11.64,22.7,,6.9,,93.1,8.1
NRR001,8/19/1991,1645,26,29.91,11.64,22.7,,6.9,,93.2,8.1
NRR001,8/19/1991,1645,26.5,29.91,11.63,22.7,,6.9,,92.8,8.1
NRR001,8/19/1991,1645,27,29.91,11.61,22.71,,6.8,,93.1,8.1
NRR001,8/19/1991,1645,27.5,29.92,11.57,22.72,,6.8,,93.4,8.1
NRR001,8/19/1991,1645,28,29.94,11.53,22.75,,6.9,,93.5,8.1
NRR001,8/19/1991,1645,28.5,29.95,11.5,22.76,,6.7,,93.3,8.1
NRR001,8/19/1991,1645,29,29.95,11.48,22.77,,6.6,,93.3,8.1
NRR001,8/19/1991,1645,29.5,29.96,11.42,22.78,,6.7,,93.3,8.1
NRR001,8/19/1991,1645,30,29.98,11.4,22.8,,6.7,,93.6,8.1
NRR001,8/19/1991,1645,30.5,29.98,11.38,22.81,,6.6,,93.7,8.1
NRR001,8/19/1991,1645,31,30,11.36,22.82,,6.5,,93.7,8.1
NRR001,8/19/1991,1645,31.5,30,11.32,22.83,,6.6,,93.6,8.1
NRR001,9/23/1991,1435,0.5,30.2,12.11,22.84,,6.9,,84.7,8.1
NRR001,9/23/1991,1435,1,30.2,12.11,22.84,,6.9,,84.8,8.1
NRR001,9/23/1991,1435,1.5,30.2,12.11,22.84,,6.9,,84.9,8.1
NRR001,9/23/1991,1435,2,30.19,12.12,22.84,,6.9,,84.9,8.1
NRR001,9/23/1991,1435,2.5,30.2,12.13,22.84,,6.9,,84.8,8.1
NRR001,9/23/1991,1435,3,30.19,12.14,22.83,,6.9,,85,8.1
NRR001,9/23/1991,1435,3.5,30.19,12.14,22.83,,6.9,,85,8.1
NRR001,9/23/1991,1435,4,30.19,12.13,22.83,,6.9,,84.9,8.1
NRR001,9/23/1991,1435,4.5,30.19,12.13,22.84,,6.9,,84.9,8.1
NRR001,9/23/1991,1435,5,30.19,12.12,22.84,,6.9,,85,8.1
NRR001,9/23/1991,1435,5.5,30.19,12.12,22.84,,6.9,,84.9,8.1
NRR001,9/23/1991,1435,6,30.19,12.12,22.84,,6.9,,84.9,8.1
NRR001,9/23/1991,1435,6.5,30.2,12.12,22.84,,6.9,,84.9,8.1
NRR001,9/23/1991,1435,7,30.19,12.12,22.84,,6.9,,84.8,8.1
NRR001,9/23/1991,1435,7.5,30.21,12.08,22.86,,6.9,,84.8,8.1
NRR001,9/23/1991,1435,8,30.21,12.08,22.86,,6.8,,84.8,8.1
NRR001,9/23/1991,1435,8.5,30.21,12.07,22.86,,6.9,,84.7,8.1
NRR001,9/23/1991,1435,9,30.22,12.06,22.87,,6.9,,84.8,8.1
NRR001,9/23/1991,1435,9.5,30.21,12.07,22.86,,6.8,,85,8.1
NRR001,9/23/1991,1435,10,30.21,12.07,22.86,,6.8,,84.7,8.1
NRR001,9/23/1991,1435,10.5,30.22,12.07,22.86,,6.8,,84.9,8.1
NRR001,9/23/1991,1435,11,30.22,12.07,22.87,,6.8,,85,8.1
NRR001,9/23/1991,1435,11.5,30.21,12.08,22.86,,6.8,,85,8.1
NRR001,9/23/1991,1435,12,30.21,12.08,22.86,,6.8,,84.9,8.1
NRR001,9/23/1991,1435,12.5,30.21,12.08,22.86,,6.8,,85,8.1
NRR001,9/23/1991,1435,13,30.21,12.08,22.86,,6.8,,85.1,8.1
NRR001,9/23/1991,1435,13.5,30.21,12.08,22.86,,6.8,,85,8.1
NRR001,9/23/1991,1435,14,30.21,12.08,22.85,,6.8,,84.8,8.1
NRR001,9/23/1991,1435,14.5,30.21,12.08,22.86,,6.8,,85,8.1
NRR001,9/23/1991,1435,15,30.21,12.09,22.85,,6.8,,85,8.1
NRR001,9/23/1991,1435,15.5,30.21,12.09,22.85,,6.8,,84.9,8.1
NRR001,9/23/1991,1435,16,30.21,12.09,22.85,,6.8,,85.1,8.1
NRR001,9/23/1991,1435,16.5,30.2,12.09,22.85,,6.8,,85,8.1
NRR001,9/23/1991,1435,17,30.2,12.09,22.85,,6.9,,85.1,8.1
NRR001,9/23/1991,1435,17.5,30.21,12.05,22.86,,6.9,,84.7,8.1
NRR001,9/23/1991,1435,18,30.23,12,22.89,,6.9,,84.7,8.1
NRR001,9/23/1991,1435,18.5,30.25,11.99,22.9,,6.8,,84.6,8.1
NRR001,9/23/1991,1435,19,30.24,12.01,22.89,,6.7,,84.7,8.1
NRR001,9/23/1991,1435,19.5,30.24,11.99,22.9,,6.7,,84.6,8.1
NRR001,9/23/1991,1435,20,30.24,11.98,22.9,,6.7,,84.6,8.1
NRR001,9/23/1991,1435,20.5,30.26,11.93,22.92,,6.7,,84.7,8.1
NRR001,9/23/1991,1435,21,30.27,11.92,22.94,,6.7,,84.6,8.1
NRR001,9/23/1991,1435,21.5,30.28,11.91,22.95,,6.6,,84.8,8.1
NRR001,9/23/1991,1435,22,30.28,11.93,22.94,,6.6,,84.5,8.1
NRR001,9/23/1991,1435,22.5,30.25,11.97,22.91,,6.6,,84.7,8.1
NRR001,9/23/1991,1435,23,30.25,11.98,22.91,,6.6,,84.9,8.1
NRR001,9/23/1991,1435,23.5,30.24,12,22.9,,6.7,,85,8.1
NRR001,9/23/1991,1435,24,30.23,12.02,22.89,,6.7,,85,8.1
NRR001,9/23/1991,1435,24.5,30.23,12.01,22.89,,6.7,,85.1,8.1
NRR001,9/23/1991,1435,25,30.24,12,22.9,,6.7,,84.8,8.1
NRR001,9/23/1991,1435,25.5,30.24,12,22.89,,6.7,,84.7,8.1
NRR001,9/23/1991,1435,26,30.24,12.01,22.9,,6.7,,84.9,8.1
NRR001,9/23/1991,1435,26.5,30.23,12.02,22.89,,6.7,,85,8.1
NRR001,9/23/1991,1435,27,30.23,12.03,22.88,,6.7,,84.9,8.1
NRR001,9/23/1991,1435,27.5,30.24,12.01,22.89,,6.7,,84.9,8.1
NRR001,9/23/1991,1435,28,30.23,12.01,22.89,,6.7,,85,8.1
NRR001,9/23/1991,1435,28.5,30.24,12.01,22.89,,6.7,,85.1,8.1
NRR001,9/23/1991,1435,29,30.24,12.02,22.89,,6.7,,85,8.1
NRR001,9/23/1991,1435,29.5,30.23,12.02,22.89,,6.7,,84.9,8.1
NRR001,9/23/1991,1435,30,30.24,12,22.89,,6.7,,85,8.1
NRR001,9/23/1991,1435,30.5,30.22,11.99,22.88,,6.7,,84.9,8.1
NRR001,9/23/1991,1435,31,30.25,11.95,22.91,,6.7,,85,8.1
